source	interaction_type	target	comutation_count
SMARCC1	pp	PIK3CA	1
SMARCC1	pp	ZNF174	1
SMARCC1	pp	MLL5	1
SMARCC1	pp	POLR2A	1
SMARCC1	pp	CCDC111	1
SMARCC1	pp	ABCA8	1
SMARCC1	pp	C15orf55	1
SMARCC1	pp	ANK2	1
SMARCC1	pp	ANK3	1
SMARCC1	pp	DNAH8	2
SMARCC1	pp	ATM	1
SMARCC1	pp	NUP62	1
SMARCC1	pp	CACNA1S	1
SMARCC1	pp	ITGA10	1
SMARCC1	pp	JARID1A	1
SMARCC1	pp	C10orf137	1
SMARCC1	pp	DARS2	1
SMARCC1	pp	JMJD5	1
SMARCC1	pp	LRP2	1
SMARCC1	pp	NIPBL	1
SMARCC1	pp	ACIN1	1
SMARCC1	pp	RYR1	2
SMARCC1	pp	KRAS	1
SMARCC1	pp	TDRD1	1
SMARCC1	pp	ATG2B	1
SMARCC1	pp	FAT2	1
SMARCC1	pp	CHD6	1
SMARCC1	pp	NELL1	1
SMARCC1	pp	NCOR1	1
SMARCC1	pp	KDM6A	1
SMARCC1	pp	HSP90AA1	1
SMARCC1	pp	KALRN	1
SMARCC1	pp	CUBN	1
SMARCC1	pp	KBTBD4	1
SEMA4F	pp	ZNF80	1
SEMA4F	pp	MITF	1
SEMA4F	pp	UVRAG	1
SEMA4F	pp	C4orf17	1
SEMA4F	pp	PAK3	1
SEMA4F	pp	GHRHR	1
SEMA4F	pp	MED1	1
SEMA4F	pp	HEXA	1
SEMA4F	pp	CEP135	1
SEMA4F	pp	ERBB3	1
SEMA4F	pp	PRMT5	1
SEMA4F	pp	TP53	1
SEMA4F	pp	GALNT13	1
SEMA4F	pp	SLC26A4	1
SEMA4F	pp	KIAA0556	1
SEMA4F	pp	TMPRSS2	1
OGDH	pp	NPR2	1
OGDH	pp	KLC4	1
OGDH	pp	CDKN1A	1
OGDH	pp	ANO7	1
OGDH	pp	ANPEP	1
OGDH	pp	C17orf80	1
OGDH	pp	TRPV5	1
OGDH	pp	TRIM23	1
OGDH	pp	GLRA3	1
OGDH	pp	TNFAIP8L3	1
OGDH	pp	CABIN1	1
OGDH	pp	GATC	1
OGDH	pp	ZFHX3	1
OGDH	pp	CLSPN	1
OGDH	pp	GKN2	1
OGDH	pp	IL18RAP	1
OGDH	pp	BAI3	1
OGDH	pp	ZNF471	1
OGDH	pp	DMD	1
OGDH	pp	HRAS	1
OGDH	pp	JARID1A	1
OGDH	pp	GART	1
OGDH	pp	ZNF536	1
OGDH	pp	DIP2C	1
OGDH	pp	TDRD1	1
OGDH	pp	PLXNB1	1
OGDH	pp	MYST1	1
OGDH	pp	C9orf102	1
OGDH	pp	LNX1	1
OGDH	pp	C14orf101	1
OGDH	pp	NKD1	1
OGDH	pp	SYNE1	1
OGDH	pp	KCTD7	1
OGDH	pp	MLH1	1
OGDH	pp	TG	1
OGDH	pp	GSG1	1
OGDH	pp	VPS13B	1
OGDH	pp	ALDH1B1	1
OGDH	pp	GRIN2B	1
PIK3CA	pp	ESPL1	3
PIK3CA	pp	SP110	1
PIK3CA	pp	ZMYM3	1
PIK3CA	pp	PPP1R9A	1
PIK3CA	pp	HNRPDL	1
PIK3CA	pp	BRCA2	2
