source	total_mutations
SMARCC1	3
SEMA4F	1
OGDH	1
PIK3CA	12
GPR182	2
ESPL1	7
SP110	1
GRIN1	2
ZMYM3	2
NPR2	3
LARP5	2
PORCN	1
SP1	3
PPP1R9A	2
CEP110	3
GMIP	3
MUC17	3
HNRPDL	1
ZNF174	2
KLC4	2
SMC1A	3
BRCA2	4
CD1C	1
ATP2A2	1
ATP2A3	2
ANO5	1
CDKN1A	2
ANO7	1
ITGA5	1
MLL3	5
SETBP1	1
MLL5	4
COL3A1	2
IQSEC3	1
XPO4	1
GRM8	2
NF1	8
CYTSB	2
SDK1	2
HOXB8	1
CUX1	1
PLXNB1	2
HMCN1	9
COL22A1	2
ANPEP	1
ZNF295	1
SLC26A4	1
FLNB	3
SOAT1	1
SESN2	2
SPTA1	1
AKAP13	2
TSC2	1
DTX1	1
NCOA7	1
ASPM	1
ACAT2	1
LAMA1	3
LAMA3	3
LAMA4	7
ZNF83	2
C17orf80	2
ZNF80	2
RXRA	1
ZNF471	1
FRMPD1	1
C19orf15	2
WEE1	1
YAP1	1
TAF1	2
PIPOX	1
SLC17A5	1
GPR158	1
CCDC111	2
ABCA4	1
ABCA8	1
PRKD3	1
ERBB2	5
EGFR	1
ACAD10	2
PTPRZ1	3
PLCG2	1
C1orf222	1
PGLYRP4	1
MITF	2
C15orf55	2
FRRS1	1
NHS	1
HSD17B6	2
ITGB8	3
RTN2	1
E4F1	1
BEST2	1
PRMT5	1
SASH1	1
CA9	1
PARD3	3
HEXA	2
ANK2	7
MBD6	4
CHRNG	1
PCK1	1
UVRAG	2
TSPAN12	1
HUWE1	4
ANK3	7
USP26	2
EGF	4
USP21	4
NFE2L3	5
WNT10B	2
RELN	4
SLC12A3	3
SLC12A2	1
DYRK1A	1
CDH5	2
IFT57	1
TPO	3
C4orf17	2
GSR	1
TPR	1
SAMD9L	3
SMPD4	1
ARID1A	15
NRXN3	2
ACTB	4
MMAB	1
MEP1A	1
PAK3	1
GHRHR	1
TNFAIP8L3	1
MED1	1
LAMB3	2
STAM	2
AP2B1	1
ADAMTSL3	3
MADD	1
CABIN1	4
ZIK1	1
TNS3	3
TRAF3IP1	1
GATC	1
MYH6	1
KIF15	3
IRF2	2
IRF1	1
DNAH8	6
DNAH9	2
DDRGK1	1
GNA13	1
CREBBP	15
PDGFRB	3
TEX14	2
ATM	5
RFC1	2
ZFHX3	6
CSMD3	6
ATR	2
SMPD3	2
BRIP1	3
ITIH5	1
RNF113A	4
ZDHHC23	1
NUP62	2
AKNA	1
DIDO1	2
KIAA0430	1
SH3RF1	3
AMBRA1	3
CELSR1	1
COL5A3	2
ENO2	1
AOAH	1
LAMP2	1
PCIF1	1
EP300	14
TAOK2	2
TAOK3	3
GLRA3	1
KIAA1199	1
ZNF502	1
ERCC2	7
NLRP14	3
ALOX12	1
OPCML	3
NR1D2	1
SMARCA4	4
