source	total_mutations	Biological Function	Ingenuity Network	Tumor vs. Normal Change	Tumor vs. Normal # Datasets	Musc. Inv. vs. Non Change	Musc. Inv. vs. Non # Datasets	Location	Type(s)	Biomarker Application	Drug(s)
AHNAK	5	Cell adhesion	1	-2	3	?	?	Nucleus	other		
ANK2	7	Cell morphology	3	-2	2	?	?	Plasma Membrane	other		
ANK3	7	Cell morphology	1	?	?	?	?	Plasma Membrane	other		
ARID1A	15	Chromatin remodeling	3	2	2	?	?	Nucleus	transcription regulator		
ATM	5	Cell cycle	3	-2	2	?	?	Nucleus	kinase	diagnosis	
CHD6	7	Chromatin remodeling	5	?	?	?	?	Nucleus	enzyme		
CREBBP	15	Chromatin remodeling	2	?	?	?	?	Nucleus	transcription regulator		
CSMD3	6	Cell cycle	5	?	?	?	?	Other	enzyme		
CUBN	5	Transport	2	?	?	?	?	Plasma Membrane	transmembrane receptor		
DNAH8	6	Cell morphology	5	?	?	?	?	Cytoplasm	enzyme		
ELF3	6	ErbB2-ErbB3 signaling	2	2	2	-2	4	Nucleus	transcription regulator		
EP300	14	Chromatin remodeling	2	?	?	?	?	Nucleus	transcription regulator		
ERBB2	5	ErbB2-ErbB3 signaling	4	2	3	?	?	Plasma Membrane	kinase	"diagnosis,disease progression,efficacy,prognosis,safety"	"trastuzumab, BMS-599626, varlitinib, XL647, CP-724,714, afatinib, pertuzumab, sapitinib, trastuzumab emtansine, lapatinib/letrozole, paclitaxel/trastuzumab, capecitabine/lapatinib, neratinib, lapatinib, erlotinib"
ERBB3	8	ErbB2-ErbB3 signaling	1	2	2	-2	4	Plasma Membrane	kinase	"efficacy,prognosis,safety"	sapitinib
ERCC2	7	Chromatin remodeling	4	2	2	?	?	Nucleus	enzyme	"diagnosis,efficacy,prognosis,safety"	
ESPL1	7	Cell cycle	4	2	3	2	4	Nucleus	peptidase		
FAT4	5	Cell adhesion	5	-2	2	?	?	Other	other		
FGFR3	11	PIK3/RAS signaling	1	2	3	-2	6	Plasma Membrane	kinase	prognosis	pazopanib
HMCN1	9	Cell adhesion	2	?	?	?	?	Extracellular Space	other		
HRAS	13	PIK3/RAS signaling	2	2	3	?	?	Plasma Membrane	enzyme	"prognosis,safety"	
KALRN	5	Cell Morphology	4	?	?	?	?	Cytoplasm	kinase		
